# EVENTI.DAT
# ID|TIPO|DATA|LUOGO|ID_PERSONA|ID_FAMIGLIA|ID_FONTE|NOTE
E000223|DEAT|||P000104||S000001|IMPORT_RMTREE
E000224|BIRT|1530||P000105||S000001|IMPORT_RMTREE
E000225|DEAT|||P000105||S000001|IMPORT_RMTREE
E000226|BIRT||Den.|P000106||S000001|IMPORT_RMTREE
E000227|DEAT|||P000106||S000001|IMPORT_RMTREE
E000228|BIRT|1510||P000107||S000001|IMPORT_RMTREE
E000229|DEAT|||P000107||S000001|IMPORT_RMTREE
E000230|BIRT|1530||P000108||S000001|IMPORT_RMTREE
E000231|DEAT|1558||P000108||S000001|IMPORT_RMTREE
E000232|BIRT|1598||P000109||S000001|IMPORT_RMTREE
E000233|DEAT|||P000109||S000001|IMPORT_RMTREE
E000234|BIRT|1530||P000110||S000001|IMPORT_RMTREE
E000235|DEAT|||P000110||S000001|IMPORT_RMTREE
E000236|BIRT|1510||P000111||S000001|IMPORT_RMTREE
E000237|DEAT|||P000111||S000001|IMPORT_RMTREE
E000238|BIRT|1535||P000112||S000001|IMPORT_RMTREE
E000239|DEAT|||P000112||S000001|IMPORT_RMTREE
E000240|BIRT|1505||P000113||S000001|IMPORT_RMTREE
E000241|DEAT|||P000113||S000001|IMPORT_RMTREE
E000242|BIRT|1512||P000114||S000001|IMPORT_RMTREE
E000243|DEAT|||P000114||S000001|IMPORT_RMTREE
E000244|DEAT|||P000115||S000001|IMPORT_RMTREE
E000245|BIRT|1530||P000116||S000001|IMPORT_RMTREE
E000246|DEAT|||P000116||S000001|IMPORT_RMTREE
E000247|BIRT|1532|Naro, Provincia di Agrigento, Sicilia, Italia.|P000117||S000001|IMPORT_RMTREE
E000248|DEAT||Naro, Provincia di Agrigento, Sicilia, Italia.|P000117||S000001|IMPORT_RMTREE
E000249|MARR||||F000051|S000001|IMPORT_RMTREE
E000250|DEAT|||P000118||S000001|IMPORT_RMTREE
E000251|BIRT|1500||P000119||S000001|IMPORT_RMTREE
E000252|DEAT|||P000119||S000001|IMPORT_RMTREE
E000253|BIRT|1510||P000120||S000001|IMPORT_RMTREE
E000254|DEAT|||P000120||S000001|IMPORT_RMTREE
E000255|MARR||||F000061|S000001|IMPORT_RMTREE
E000256|BIRT|1570||P000121||S000001|IMPORT_RMTREE
